frequency,raw
20.0,9.203
20.299999,9.22
20.6,9.249
20.9,9.28
21.200001,9.313
21.4,9.335
21.799999,9.373
22.0,9.391
22.4,9.424
22.700001,9.446
23.0,9.456
23.299999,9.449
23.6,9.437
24.0,9.421
24.299999,9.417
24.700001,9.417
25.0,9.422
25.4,9.441
25.799999,9.459
26.200001,9.465
26.5,9.461
26.9,9.441
27.200001,9.419
27.6,9.379
28.0,9.345
28.5,9.321
29.0,9.308
29.5,9.302
30.0,9.296
30.4,9.287
30.700001,9.28
31.1,9.267
31.5,9.249
32.0,9.223
32.5,9.195
33.0,9.176
33.5,9.162
34.0,9.148
34.5,9.133
35.0,9.121
35.5,9.108
36.0,9.1
36.5,9.093
37.0,9.081
37.5,9.055
38.200001,9.007
38.700001,8.962
39.5,8.883
40.0,8.837
40.599998,8.792
41.200001,8.75
41.799999,8.708
42.5,8.66
43.099998,8.616
43.700001,8.568
44.400002,8.514
45.0,8.464
45.5,8.419
46.200001,8.351
46.799999,8.296
47.5,8.228
48.200001,8.153
48.700001,8.1
49.400002,8.03
50.0,7.976
50.799999,7.912
51.5,7.857
52.200001,7.798
53.0,7.729
53.799999,7.645
54.5,7.566
55.200001,7.487
56.0,7.404
57.0,7.312
58.0,7.232
59.0,7.162
60.0,7.088
60.799999,7.015
61.5,6.942
62.200001,6.867
63.0,6.786
64.0,6.704
65.0,6.635
66.0,6.568
67.0,6.503
68.0,6.434
69.0,6.367
70.0,6.295
71.0,6.211
72.0,6.12
73.0,6.02
74.0,5.923
75.0,5.838
76.199997,5.763
77.5,5.698
78.800003,5.637
80.0,5.576
81.199997,5.505
82.5,5.424
83.800003,5.335
85.0,5.254
86.199997,5.188
87.5,5.128
88.5,5.09
90.0,5.041
91.199997,4.997
92.5,4.958
93.800003,4.925
95.0,4.894
96.199997,4.865
97.5,4.838
98.800003,4.802
100.0,4.754
101.5,4.679
103.0,4.593
104.400002,4.512
106.0,4.421
107.5,4.34
109.0,4.274
110.599998,4.208
112.0,4.148
113.800003,4.064
115.0,4.009
117.199997,3.909
118.0,3.873
120.599998,3.77
122.0,3.721
124.099998,3.655
125.0,3.63
126.5,3.592
128.0,3.554
131.5,3.444
132.0,3.427
134.0,3.351
136.0,3.272
138.0,3.192
140.0,3.115
143.0,3.032
145.0,2.991
147.5,2.933
150.0,2.872
152.5,2.809
155.0,2.737
157.5,2.661
160.0,2.587
162.5,2.514
165.0,2.441
167.5,2.368
170.0,2.296
172.5,2.222
175.0,2.141
177.5,2.056
180.0,1.972
182.5,1.889
185.0,1.807
187.5,1.726
190.0,1.649
192.5,1.574
195.0,1.5
197.5,1.427
200.0,1.355
203.0,1.269
206.0,1.187
209.0,1.105
212.0,1.032
214.0,0.986
218.0,0.894
220.0,0.846
224.0,0.76
227.0,0.706
230.0,0.658
233.0,0.615
236.0,0.578
240.0,0.542
243.0,0.516
247.0,0.491
250.0,0.487
254.0,0.487
258.0,0.481
262.0,0.476
265.0,0.463
269.0,0.43
272.0,0.4
276.0,0.361
280.0,0.327
285.0,0.307
290.0,0.299
295.0,0.306
300.0,0.317
304.0,0.322
307.0,0.318
311.0,0.307
315.0,0.297
320.0,0.287
325.0,0.279
330.0,0.283
335.0,0.29
340.0,0.3
345.0,0.306
350.0,0.302
355.0,0.278
360.0,0.229
365.0,0.17
370.0,0.106
375.0,0.045
382.0,-0.019
387.0,-0.047
395.0,-0.081
400.0,-0.099
406.0,-0.114
412.0,-0.117
418.0,-0.114
425.0,-0.108
431.0,-0.101
437.0,-0.096
444.0,-0.087
450.0,-0.076
455.0,-0.067
462.0,-0.054
468.0,-0.043
475.0,-0.031
482.0,-0.018
487.0,-0.011
494.0,-0.003
500.0,0.0
508.0,0.002
515.0,-0.002
522.0,-0.004
