frequency,raw
20.0,2.837
20.299999,2.837
20.6,2.837
20.9,2.837
21.200001,2.837
21.4,2.837
21.799999,2.837
22.0,2.837
22.4,2.837
22.700001,2.836
23.0,2.829
23.299999,2.813
23.6,2.795
24.0,2.774
24.299999,2.762
24.700001,2.748
25.0,2.743
25.4,2.744
25.799999,2.744
26.200001,2.74
26.5,2.734
26.9,2.723
27.200001,2.71
27.6,2.687
28.0,2.668
28.5,2.658
29.0,2.652
29.5,2.649
30.0,2.648
30.4,2.651
30.700001,2.653
31.1,2.656
31.5,2.661
32.0,2.666
32.5,2.664
33.0,2.662
33.5,2.66
34.0,2.659
34.5,2.658
35.0,2.658
35.5,2.658
36.0,2.668
36.5,2.68
37.0,2.688
37.5,2.685
38.200001,2.667
38.700001,2.645
39.5,2.607
40.0,2.588
40.599998,2.576
41.200001,2.57
41.799999,2.565
42.5,2.559
43.099998,2.549
43.700001,2.528
44.400002,2.499
45.0,2.471
45.5,2.45
46.200001,2.428
46.799999,2.417
47.5,2.406
48.200001,2.394
48.700001,2.385
49.400002,2.372
50.0,2.36
50.799999,2.343
51.5,2.328
52.200001,2.312
53.0,2.294
53.799999,2.276
54.5,2.26
55.200001,2.244
56.0,2.226
57.0,2.203
58.0,2.181
59.0,2.158
60.0,2.135
60.799999,2.113
61.5,2.085
62.200001,2.053
63.0,2.017
64.0,1.977
65.0,1.94
66.0,1.907
67.0,1.882
68.0,1.858
69.0,1.834
70.0,1.803
71.0,1.76
72.0,1.714
73.0,1.664
74.0,1.612
75.0,1.564
76.199997,1.52
77.5,1.477
78.800003,1.434
80.0,1.397
81.199997,1.366
82.5,1.344
83.800003,1.324
85.0,1.306
86.199997,1.295
87.5,1.287
88.5,1.287
90.0,1.292
91.199997,1.292
92.5,1.296
93.800003,1.298
95.0,1.298
96.199997,1.302
97.5,1.307
98.800003,1.307
100.0,1.295
101.5,1.261
103.0,1.22
104.400002,1.181
106.0,1.137
107.5,1.103
109.0,1.082
110.599998,1.062
112.0,1.043
113.800003,1.014
115.0,0.992
117.199997,0.941
118.0,0.921
120.599998,0.858
122.0,0.826
124.099998,0.788
125.0,0.775
126.5,0.756
128.0,0.742
131.5,0.697
132.0,0.689
134.0,0.653
136.0,0.614
138.0,0.575
140.0,0.539
143.0,0.5
145.0,0.482
147.5,0.457
150.0,0.434
152.5,0.414
155.0,0.394
157.5,0.376
160.0,0.357
162.5,0.332
165.0,0.297
167.5,0.258
170.0,0.218
172.5,0.177
175.0,0.127
177.5,0.071
180.0,0.016
182.5,-0.041
185.0,-0.096
187.5,-0.142
190.0,-0.178
192.5,-0.212
195.0,-0.245
197.5,-0.276
200.0,-0.306
203.0,-0.34
206.0,-0.37
209.0,-0.398
212.0,-0.424
214.0,-0.441
218.0,-0.475
220.0,-0.491
224.0,-0.522
227.0,-0.544
230.0,-0.561
233.0,-0.572
236.0,-0.578
240.0,-0.583
243.0,-0.586
247.0,-0.575
250.0,-0.55
254.0,-0.508
258.0,-0.47
262.0,-0.434
265.0,-0.412
269.0,-0.393
272.0,-0.381
276.0,-0.365
280.0,-0.352
285.0,-0.329
290.0,-0.3
295.0,-0.263
300.0,-0.226
304.0,-0.203
307.0,-0.193
311.0,-0.187
315.0,-0.18
320.0,-0.166
325.0,-0.153
330.0,-0.133
335.0,-0.107
340.0,-0.081
345.0,-0.059
350.0,-0.043
355.0,-0.041
360.0,-0.061
365.0,-0.092
370.0,-0.126
375.0,-0.162
382.0,-0.201
387.0,-0.218
395.0,-0.236
400.0,-0.244
406.0,-0.247
412.0,-0.237
418.0,-0.222
425.0,-0.204
431.0,-0.191
437.0,-0.175
444.0,-0.155
450.0,-0.138
455.0,-0.123
462.0,-0.103
468.0,-0.087
475.0,-0.069
482.0,-0.051
487.0,-0.039
494.0,-0.02
500.0,-0.003
508.0,0.017
515.0,0.035
522.0,0.057
530.0,0.081
538.0,0.114
545.0,0.144
552.0,0.178
560.0,0.217
570.0,0.258
580.0,0.283
590.0,0.3
600.0,0.321
608.0,0.332
615.0,0.335
622.0,0.334
630.0,0.329
640.0,0.32
650.0,0.31
660.0,0.298
670.0,0.283
680.0,0.27
690.0,0.257
700.0,0.247
710.0,0.255
720.0,0.279
730.0,0.302
740.0,0.325
750.0,0.346
762.0,0.359
775.0,0.369
788.0,0.38
800.0,0.393
812.0,0.419
825.0,0.47
838.0,0.538
850.0,0.607
862.0,0.669
875.0,0.717
885.0,0.746
900.0,0.789
912.0,0.821
925.0,0.852
938.0,0.878
950.0,0.896
962.0,0.912
975.0,0.929
988.0,0.945
1000.0,0.963
1015.0,1.0
1030.0,1.04
1044.0,1.073
1060.0,1.109
1075.0,1.142
1090.0,1.17
1106.0,1.197
1120.0,1.216
1138.0,1.245
1150.0,1.278
1172.0,1.36
1180.0,1.39
1206.0,1.487
1220.0,1.543
1241.0,1.638
1250.0,1.682
1265.0,1.758
1280.0,1.834
1315.0,2.023
1320.0,2.052
1340.0,2.176
1360.0,2.304
1380.0,2.436
1400.0,2.567
1430.0,2.799
1450.0,2.969
1475.0,3.177
1500.0,3.383
1525.0,3.591
1550.0,3.798
1575.0,4.006
1600.0,4.215
1625.0,4.416
1650.0,4.618
1675.0,4.82
1700.0,5.018
1725.0,5.213
1750.0,5.416
1775.0,5.625
1800.0,5.83
1825.0,6.026
1850.0,6.218
1875.0,6.407
1900.0,6.59
1925.0,6.765
1950.0,6.932
1975.0,7.098
2000.0,7.271
2030.0,7.499
2060.0,7.731
2090.0,7.96
2120.0,8.183
2140.0,8.327
2180.0,8.622
2200.0,8.772
2240.0,9.071
2270.0,9.288
2300.0,9.481
2330.0,9.632
2360.0,9.764
2400.0,9.936
2430.0,10.064
2470.0,10.228
2500.0,10.351
2540.0,10.516
2580.0,10.68
2620.0,10.835
2650.0,10.93
2690.0,11.02
2720.0,11.076
2760.0,11.146
2800.0,11.217
2850.0,11.303
2900.0,11.386
2950.0,11.466
3000.0,11.544
3040.0,11.588
3070.0,11.6
3110.0,11.599
3150.0,11.592
3200.0,11.582
3250.0,11.557
3300.0,11.493
3350.0,11.409
3400.0,11.323
3450.0,11.237
3500.0,11.148
3550.0,11.05
3600.0,10.95
3650.0,10.849
3700.0,10.746
3750.0,10.636
3820.0,10.467
3870.0,10.343
3950.0,10.145
4000.0,10.021
4060.0,9.871
4120.0,9.719
4180.0,9.565
4250.0,9.383
4310.0,9.228
4370.0,9.072
4440.0,8.889
4500.0,8.728
4550.0,8.593
4620.0,8.404
4680.0,8.241
4750.0,8.05
4820.0,7.857
4870.0,7.72
4940.0,7.532
5000.0,7.385
5080.0,7.201
5150.0,7.044
5220.0,6.891
5300.0,6.714
5380.0,6.537
5450.0,6.379
5520.0,6.221
5600.0,6.043
5700.0,5.82
5800.0,5.599
5900.0,5.379
6000.0,5.16
6080.0,4.984
6150.0,4.829
6220.0,4.671
6300.0,4.488
6400.0,4.258
6500.0,4.032
6600.0,3.815
6700.0,3.603
6800.0,3.398
6900.0,3.193
7000.0,2.98
7100.0,2.742
7200.0,2.488
7300.0,2.232
7400.0,1.981
7500.0,1.737
7620.0,1.453
7750.0,1.149
7880.0,0.849
8000.0,0.581
8120.0,0.326
8250.0,0.062
8380.0,-0.196
8500.0,-0.43
8620.0,-0.658
8750.0,-0.888
8850.0,-1.054
9000.0,-1.293
9120.0,-1.476
9250.0,-1.667
9380.0,-1.863
9500.0,-2.046
9620.0,-2.217
9750.0,-2.391
9880.0,-2.56
10000.0,-2.724
10150.0,-2.945
10300.0,-3.157
10440.0,-3.339
10600.0,-3.534
10750.0,-3.714
10900.0,-3.896
11060.0,-4.079
11200.0,-4.232
11380.0,-4.414
11500.0,-4.532
11720.0,-4.74
11800.0,-4.813
12060.0,-5.04
12200.0,-5.149
12410.0,-5.239
12500.0,-5.257
12650.0,-5.281
12800.0,-5.302
13150.0,-5.347
13200.0,-5.355
13400.0,-5.393
13600.0,-5.429
13800.0,-5.455
14000.0,-5.48
14300.0,-5.562
14500.0,-5.638
14750.0,-5.73
15000.0,-5.822
15250.0,-5.969
15500.0,-6.174
15750.0,-6.391
16000.0,-6.613
16250.0,-6.839
16500.0,-7.064
16750.0,-7.301
17000.0,-7.559
17250.0,-7.841
17500.0,-8.153
17750.0,-8.507
18000.0,-8.902
18250.0,-9.339
18500.0,-9.815
18750.0,-10.301
19000.0,-10.796
19250.0,-11.338
19500.0,-11.935
19750.0,-12.564
20000.0,-13.192
