frequency,raw
20.0,12.1
20.299999,12.11
20.6,12.11
20.9,12.12
21.200001,12.13
21.4,12.13
21.799999,12.14
22.0,12.14
22.4,12.14
22.700001,12.1
23.0,12.13
23.299999,12.12
23.6,12.1
24.0,12.1
24.299999,12.1
24.700001,12.0
25.0,12.08
25.4,12.06
25.799999,12.05
26.200001,12.04
26.5,12.03
26.9,12.02
27.200001,12.01
27.6,12.0
28.0,11.98
28.5,11.96
29.0,11.94
29.5,11.92
30.0,11.9
30.4,11.88
30.700001,11.86
31.1,11.84
31.5,11.82
32.0,11.79
32.5,11.76
33.0,11.7
33.5,11.69
34.0,11.6
34.5,11.62
35.0,11.59
35.5,11.56
36.0,11.53
36.5,11.49
37.0,11.4
37.5,11.42
38.200001,11.37
38.700001,11.33
39.5,11.28
40.0,11.24
40.599998,11.19
41.200001,11.14
41.799999,11.09
42.5,11.03
43.099998,10.97
43.700001,10.9
44.400002,10.85
45.0,10.81
45.5,10.78
46.200001,10.74
46.799999,10.7
47.5,10.63
48.200001,10.55
48.700001,10.5
49.400002,10.43
50.0,10.38
50.799999,10.31
51.5,10.25
52.200001,10.18
53.0,10.11
53.799999,10.04
54.5,9.98
55.200001,9.92
56.0,9.85
57.0,9.76
58.0,9.6
59.0,9.57
60.0,9.47
60.799999,9.4
61.5,9.33
62.200001,9.27
63.0,9.19
64.0,9.1
65.0,9.01
66.0,8.92
67.0,8.82
68.0,8.73
69.0,8.63
70.0,8.54
71.0,8.44
72.0,8.35
73.0,8.25
74.0,8.16
75.0,8.07
76.199997,7.96
77.5,7.84
78.800003,7.73
80.0,7.62
81.199997,7.52
82.5,7.41
83.800003,7.3
85.0,7.19
86.199997,7.09
87.5,6.98
88.5,6.89
90.0,6.77
91.199997,6.6
92.5,6.56
93.800003,6.45
95.0,6.35
96.199997,6.25
97.5,6.15
98.800003,6.04
100.0,5.95
101.5,5.83
103.0,5.72
104.400002,5.61
106.0,5.49
107.5,5.38
109.0,5.2
110.599998,5.15
112.0,5.05
113.800003,4.92
115.0,4.84
117.199997,4.69
118.0,4.63
120.599998,4.46
122.0,4.37
124.099998,4.23
125.0,4.17
126.5,4.08
128.0,3.9
131.5,3.77
132.0,3.74
134.0,3.62
136.0,3.51
138.0,3.39
140.0,3.27
143.0,3.1
145.0,2.99
147.5,2.86
150.0,2.72
152.5,2.59
155.0,2.46
157.5,2.34
160.0,2.23
162.5,2.13
165.0,2.03
167.5,1.9
170.0,1.87
172.5,1.8
