frequency,raw
20.0,8.8
20.144928,8.8
20.290907,8.83
20.437943,8.84
20.586044,8.85
20.73522,8.86
20.885475,8.88
21.036821,8.9
21.189262,8.91
21.342808,8.93
21.497467,8.95
21.653246,8.97
21.810154,8.9
21.968201,9.0
22.12739,9.01
22.287735,9.02
22.449242,9.03
22.611917,9.04
22.775772,9.05
22.940815,9.05
23.107054,9.0
23.274498,9.06
23.443153,9.07
23.613033,9.07
23.784142,9.08
23.956491,9.09
24.130091,9.1
24.304947,9.11
24.481071,9.12
24.65847,9.12
24.837156,9.13
25.017136,9.13
25.198421,9.13
25.38102,9.14
25.564941,9.14
25.750195,9.14
25.93679,9.15
26.124741,9.16
26.314051,9.17
26.504732,9.18
26.696796,9.2
26.890253,9.21
27.085112,9.22
27.281382,9.22
27.479073,9.22
27.678198,9.22
27.878765,9.21
28.080786,9.2
28.284271,9.19
28.489231,9.18
28.695675,9.17
28.903616,9.17
29.113064,9.18
29.324028,9.19
29.536524,9.2
29.750557,9.21
29.966141,9.22
30.183289,9.22
30.40201,9.21
30.622314,9.2
30.844217,9.18
31.067726,9.16
31.292856,9.14
31.519617,9.12
31.74802,9.11
31.978081,9.11
32.209808,9.1
32.443211,9.12
32.67831,9.13
32.915108,9.13
33.153625,9.13
33.393871,9.12
33.635857,9.11
33.879597,9.1
34.125103,9.09
34.372387,9.09
34.621464,9.09
34.872345,9.0
35.125042,9.1
35.379574,9.11
35.635948,9.11
35.89418,9.11
36.154285,9.1
36.416275,9.0
36.680161,9.07
36.945961,9.05
37.213688,9.04
37.483353,9.03
37.754974,9.02
38.028561,9.01
38.304131,9.01
38.581699,9.0
38.861279,8.99
39.142883,8.98
39.426529,8.97
39.712231,8.96
40.0,8.94
40.289856,8.93
40.581814,8.92
40.875885,8.91
41.172089,8.9
41.47044,8.8
41.77095,8.87
42.073643,8.86
42.378525,8.84
42.685616,8.83
42.994934,8.81
43.306492,8.79
43.620308,8.77
43.936401,8.75
44.25478,8.74
44.57547,8.72
44.898483,8.71
45.223835,8.7
45.551544,8.68
45.88163,8.67
46.214108,8.65
46.548996,8.6
46.886307,8.62
47.226067,8.6
47.568283,8.59
47.912983,8.57
48.260181,8.56
48.609894,8.54
48.962143,8.52
49.31694,8.0
49.674313,8.47
50.034271,8.44
50.396843,8.42
50.762039,8.4
51.129883,8.38
51.500389,8.36
51.873581,8.35
52.249481,8.33
52.628101,8.31
53.009464,8.28
53.393593,8.2
53.780506,8.23
54.170223,8.2
54.562763,8.18
54.958145,8.16
55.356396,8.1
55.75753,8.11
56.161572,8.08
56.568542,8.06
56.978462,8.03
57.39135,8.0
57.807232,7.9
58.226128,7.95
58.648056,7.92
59.073048,7.89
59.501114,7.86
59.932281,7.83
60.366577,7.81
60.80402,7.78
61.244629,7.75
61.688435,7.73
62.135452,7.7
62.585712,7.6
63.039234,7.64
63.49604,7.61
63.956161,7.57
64.419617,7.53
64.886421,7.49
65.356621,7.46
65.830215,7.43
66.307251,7.4
66.787743,7.37
67.271713,7.35
67.759193,7.32
68.250206,7.29
68.744774,7.26
69.242928,7.22
69.74469,7.18
70.250084,7.13
70.759148,7.09
71.271896,7.06
71.788361,7.03
72.308571,7.0
72.83255,6.97
73.360321,6.94
73.891922,6.9
74.427376,6.87
74.966705,6.83
75.509949,6.79
76.057121,6.74
76.608261,6.68
77.163399,6.64
77.722557,6.6
78.285767,6.56
78.853058,6.52
79.424461,6.48
80.0,6.44
80.579712,6.41
81.163628,6.38
81.75177,6.3
82.344177,6.31
82.94088,6.27
83.541901,6.23
84.147285,6.18
84.75705,6.14
85.371231,6.09
85.989868,6.05
86.612984,6.01
87.240616,5.96
87.872803,5.92
88.50956,5.87
89.15094,5.83
89.796967,5.78
